,RiderID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,PULocationID,PUBorough,PUZone,DOLocationID,DOBorough,DOZone,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,total_amount,congestion_surcharge
62,63,2024-07-04 11:55:14,2024-07-04 12:02:52,3.0,2.06,1.0,231,Manhattan,TriBeCa/Civic Center,90,Manhattan,Flatiron,1,11.4,0.0,0.5,3.08,0.0,18.48,2.5
63,64,2024-07-02 19:36:51,2024-07-02 19:46:00,1.0,1.5,1.0,90,Manhattan,Flatiron,170,Manhattan,Murray Hill,1,10.7,2.5,0.5,3.44,0.0,20.64,2.5
64,65,2024-07-02 17:50:31,2024-07-02 18:03:15,1.0,2.01,1.0,249,Manhattan,West Village,170,Manhattan,Murray Hill,1,13.5,2.5,0.5,0.0,0.0,20.0,2.5
65,66,2024-07-01 15:55:25,2024-07-01 16:11:38,1.0,1.71,1.0,163,Manhattan,Midtown North,170,Manhattan,Murray Hill,2,-14.9,0.0,-0.5,0.0,0.0,-18.9,-2.5
66,67,2024-06-29 18:56:49,2024-06-29 19:06:20,2.0,2.27,1.0,262,Manhattan,Yorkville East,229,Manhattan,Sutton Place/Turtle Bay North,1,12.8,0.0,0.5,3.36,0.0,20.16,2.5
67,68,2024-06-29 16:56:43,2024-06-29 17:00:57,1.0,0.7,1.0,237,Manhattan,Upper East Side South,162,Manhattan,Midtown East,1,6.5,0.0,0.5,1.0,0.0,11.5,2.5
68,69,2024-06-28 20:27:14,2024-06-28 20:37:56,1.0,1.9,1.0,79,Manhattan,East Village,162,Manhattan,Midtown East,2,12.1,5.0,0.5,0.0,0.0,18.6,2.5
69,70,2024-06-28 15:15:04,2024-06-28 15:32:38,1.0,1.6,1.0,161,Manhattan,Midtown Center,186,Manhattan,Penn Station/Madison Sq West,1,15.6,2.5,0.5,3.9,0.0,23.5,2.5
70,71,2024-06-28 12:25:43,2024-06-28 12:30:51,1.0,0.86,1.0,143,Manhattan,Lincoln Square West,143,Manhattan,Lincoln Square West,2,7.2,0.0,0.5,0.0,0.0,11.2,2.5
71,72,2024-06-26 10:55:08,2024-06-26 11:09:34,2.0,1.96,1.0,170,Manhattan,Murray Hill,114,Manhattan,Greenwich Village South,1,14.9,0.0,0.5,3.78,0.0,22.68,2.5
